teprenon||teprenone|teprenona|teprenonum|stepronin|eplerenone|eplerenona|loteprednol|serenoa|verbenone|arterenol
contrast media||sotrastaurina|carotegrast methyl|conestat alfa|cloperastina|torasemida|trabectedina|cobalt muriate|sotrastaurin|lenograstim rdna|conferva scoparia
adriamycin||apramycin|abramycin|epiadriamycin|duramycin|rifamycin|apramycine|avilamycin|ramycin|amimycin|ansamycin
carpipramine maleate||dexchlorpheniramine maleate|protamine sulfate|carbinoxamine base|ethanolamine oleate|tyramine sulfate|tricaine mesylate|vitamin e acetate|cupric aminoacetate|corticorelin acetate|cortisone acetate
contact||cornstarch|cndac|cobalt|camostat|cortancyl|compactin|corn starch|potato|osanetant|cobalto
noradrenalin||noradrenaline|nor-adrenaline|l-noradrenaline|(r)-noradrenaline|(−)-noradrenaline|adrenaline|l-adrenaline|orciprenalina|theodrenaline|orciprenaline
245600104||agn-201904|ly-2608204|dlo6001|mrx-4dp0004|ly-2456302|cv07050101|ly-2090314|pm-060184|uk-500001|pym50018
nogitecan hydrochloride||adiphenine hydrochloride|acriflavine hydrochloride|zirconyl hydroxychloride|n-dodecanoyl chloride|zirconium hydroxychloride|dodecanoyl chloride|nitrogen trichloride|aluminum hydroxychloride|nitrogen chloride|dodecanoic acid, chloride
carmonum sodium||acremonium roseum|acremonium strictum|vitamin c sodium|carmustinum|porfimer sodium|tiemonium iodide|parnaparin sodium|carboquonum|alexitol sodium|carbon monoxide
nonsteroidal anti-inflammatory drug||viral macrophage-inflammatory protein|nitrofurantoinum anhydrous|viral macrophage inflammatory protein-ii|analogue of indinavir drug|osteoclastogenesis inhibitory factor|nitrofurantoin anhydrous|ng-nitro-l-arginine methyl ester|centruroides antivenin (equine)|potassium antimonyl d-tartrate|nitrofurantoin, macrocrystals
comprehensive digestive enzyme preparation||bos taurus gallstone preparation|cod, unspecified preparation|rosmarinus officinalis preparation|siberian ginseng preparation|garden snail mucin preparation|culex pipiens preparation|corn starch preparation|matricaria recutita preparation|boswellia serrata preparation|carduus marianus preparation
β-galactosidase (aspergillus)||hemicellulase (aspergillus niger)|alpha-galactosidase a|alpha-d-galactosidase enzyme|co-galactoisomerase|aglucosidase alpha|alglucosidase alfa|aglucosidase alfa|l-asparaginase (erwinia)|cogalactoisomerase|beta-galactosidase
colorant||chlorate|chloranol|decoglurant|chloral|chlorine|colforsin|colforsine|seliforant|toreforant|colforsina
peritoneal dialysate (8-1)||iron sulfate (1:1)|menthyl salicylate, (+/-)-|porcine dynorphin a (1-17)|l-serine, acetate (ester)|iodine ioflupane (123i)|copper sulfate (1:1)|nickel sulfate(1:1)|iron(2+) gluconate (1:2)|pyrithione disulphide|crystal violet ion(1)
colac||cndac|folacin|acoalan|coash|etodolac|cacao|folate|coal tar|picovacc|cocoa
non-steroidal anti-inflammatory drugs (nsaids)||viral macrophage inflammatory protein-ii|viral macrophage-inflammatory protein|forsythia fruit (forsythia suspensa)|blood coagulation factor xiv (human)|n-terminal peptide of human lactoferrin 1-11|multipotent adult progenitor cells (mapcs)|p-nitrophenyl beta-d-galactopyranoside|nitrofurantoin, macrocrystals|digoxin-specific antibody fragments|c1 esterase inhibitor (recombinant)
cardiovascular drugs||cassia fistula fruit|cardui mariae fructus|carbidopa anhydrous|carbidopa (anhydrous)|cassia excelsa fruit|carduus marianus|calcifediol anhydrous|molecular hydrogen|carbo activatus|calcium ascorbate anhydrous
those that act mainly on gram-positive bacteria and mycoplasma||anisoylated plasminogen streptokinase activator complex|tissue plasminogen activator alteplase|house dust mite extract, dermatophagoides pteronyssinus|heat inactivated convalescent plasma|phosphoric acid, monosodium salt, anhydrous|human umbilical cord and placental blood plasma|hydrate magnesium aluminate activated sulfate|bothrops atrox blood-coagulation factor x activator|tissue plasminogen activator, recombinant|house dust mite extract, dermatophagoides farinae
cnidium officinale rhizome||zingiber officinale rhizome oil|calendula officinalis whole|taraxacum officinale pollen|taraxacum officinale dry leaf|cimicifugae rhizoma|zingiber officinale oil|taraxacum officinale leaf|calendula officinalis flower|curcuma longa rhizome|curcumae longae rhizoma
diabetes drug||devil's dung|dienestrolum|dienestrol|bilberry fruit|edetate sodium|oxybate sodium|diatrizoesaure|tiabendazolum|pirbuterolum|finasteridum
non-specific immune drug substance||digoxin-specific antibody fragments|human vaccinia immune globulin|vaccinia immune globulin|reichstein's substance m|reichstein's substance h|hepatitis b immune globulin human|hepatitis b immune globulin|reichstein's substance fa|hepatitis b immune globulin (human)|tetanus immune globulin human
cardiovascular drug||cassia fistula fruit|cassia excelsa fruit|carbidopa anhydrous|carbidopa (anhydrous)|cardui mariae fructus|molecular hydrogen|carduus marianus|carindacillinum|capivasertibum|calcio cloruro
ciproflox acin||ciprofloxacin|ciprofloxacine|ciprofloxacino|ciprofloxacinum|enrofloxacin|pradofloxacin|r-ofloxacin|99mtc-ciprofloxacin|sparfloxacin|enrofloxacino
tecentriq (genetical recombination)||somatrem (genetical recombination)|alteplase (genetical recombination)|lenograstim (genetical recombination)|abciximab (genetical recombination)|aflibercept (genetical recombination)|laronidase (genetical recombination)|ocrelizumab (genetical recombination)|burosumab (genetical recombination)|infliximab (genetical recombination)|liraglutide (genetical recombination)
non-pyrine cold preparation||brown rice preparation|cod, unspecified preparation|corn starch preparation|aloe ferox leaf preparation|honey preparation|serenoa preparation|blue crab preparation|damiana leaf preparation|rosmarinus officinalis preparation|eleuthero preparation
vitamins (1-2)||vitamin b12|vitamin b-12b|vitamin k1|vitamin k2|vitamin b2|vitamin d2|vitamin a1|vitamin l2|vitamin b1|vitamin l1
cinepadide maleate||milciclib maleate|seractide acetate|estradiol valerate|magnesium malate|rusalatide acetate|saccharide isomerate|cinepazide|roxatidine acetate|cyanamide calcique|flunisolide acetate
stimulant therapy||cord blood therapy|portulacae herba|ustilago avenae|purslane herb|setmelanotida|sulfanitran|stanolone acetate|ustilago tritici|insulin tregopil|salicylic ether
non-ionic contrast agent||protein c concentrate human|protein c concentrate|protein c concentrate (human)|chorionic gonadotropin|chorionic gonadotrophin|pinus contorta pollen|chorionic gonadotropin (human)|fibrinogen concentrate human|senna concentrate|nitrate d'argent
cardiotonic vasodilator||crotonic aldehyde|calcitonin salmon|cardiodilatin|agrostis maeotica top|gluconic acid lactone|calcitonin, salmon|corticotropin-releasing factor|carbonic acid, disodium salt|calcitonin (pork natural)|calcitonin (swine)
sanso drinking||asian ginseng|stannsoporfin|panax ginseng|s-amlodipine|isoprinosine|nisoldipino|nisoldipina|anisodamine|isatoribine|nisoldipine
pronase||praconase|brinase|urokinase|apronal|proline|puricase|procaine|laronidase|apronalide|propenoate
chlamydia nucleic acid kit||salamidacetic acid|chlorodracylic acid|salvianolic acid a|glacial acetic acid|vitamin e nicotinic acid ester|acetylamino-acetic acid|dichlorocyanuric acid|palmitolinoleic acid|hydracrylic acid|chondroitinsulfuric acid type b
non-drug therapy||cord blood therapy|concord grape|sour cherry|anhydrous chloral|monalium hydrate|chondrus crispus|sodium tartrate|sodium hydrate|ephedrae herba|sodium nitrate
sanshishi||sanchi|sonolisib|hashish top|sangbaipi|sapanisertib|ganstigmine|sang bai pi|lanimostim|fanchinine|basmisanil
chink oil||china oil|zhi ma oil|arachis oil|ricinus oil|chinin|chen pi|fish oil|chinidin|olive oil|anise oil
sanactase l||lactase|tilactase|fanapanel|galactose|samatasvir|lanatoside c|acacia seyal|sapacitabine|apadamtase alfa|cabazitaxel
chimo||zhimu|cromo|shrimp|cosmos|thymol|cadmio|chlor|chinin|chrom|zhi mu
cardioplegic solution||dextrose solution|cardiodilatin|lugol's solution|monsel's solution|formaldehyde solution|chromic cation|basic ferric sulfate solution|carya diguetii pollen|carya pecan pollen|calcitonin salmon
non-benzo sleeping pills||o-benzoic acid thiol|o-benzoylecgonine|n-benzoylsulfanilamide|aminobenzylpenicillin|soybean seed oil|cow-bezoan cultured in vitro|(-)-benzoylecgonine|soya bean seed oil|neothunnus brevipinna flesh|p-oxybenzoesäurepropylester
thiaramid hydrochloride||acriflavine hydrochloride|adiphenine hydrochloride|aluminum hydroxychloride|zirconium hydroxychloride|zirconyl hydroxychloride|chromium trichloride|thallium monochloride|chromic chloride|thallium(i) chloride|thiarsa dihydroxy cysteine
chimaphila umberlata||phoma glomerata|dimethyl fumarate|chamomile extract|risankizumab-rzaa|ispaghula extract|tricaine mesylate|capsicum extract|imiglucerasa|hemicalcium l-lactate|periplaneta americana
saiko seikokuto||bario sulfato|acido risedronico|acido medronico|sabal serrulata|acido iotroxico|potasio ioduro|sodio bicarbonato|oak moss absolute|calcio gluconato|acido oxidronico
no shin white||ren shen whole|hong shen whole|zinc white|ninjin whole|cognac oil white|ren seng whole|norepinephrine|gokshura whole|norépinéphrine|cognac oil, white
carbop999||carbopol|carbophos|carbon|carbono|carbose|carbomer|carboxin|carbidopa|carbomere|carbonate
ryukotsu||rutosidum|rocuronium|hyprolosum|riluzolum|orotsäure|rhu-pgsn|fructose|rutoside|rutosido|flurotyl
no match||tomato|houx mate|cenobamatum|corn starch|cénobamate|cenobamate|cenobamato|tanomastat|nomacopan|gamma-hch
cephalolysine||cephaloglycine|cephalomycine|cephaloglycin|cephazoline|d-cephaloglycine|cephaloridine|cefaloglycine|cephazolin|cephalotin|cephalothin
carbohydrate||carbonate|chloral hydrate|carbonyldiamide|carbomere|carbomycine|carboplatine|chloralhydrat|cocarboxylase|silica hydrate|terpin hydrate
amino acid preparation for liver failure (1)||fatty acids of cod liver oil|blood coagulation factor xiv (human)|amino(diphenylhydantoin) valeric acid|rehmanniae preparata radix et ehizoma|bisamide derivative of dicarboxylic acid|ammonio methacrylate copolymer type a|damiana leaf preparation|calcitrapa tinctoria flower bud|ebola zaire vaccine (live, attenuated)|adenovirus vaccine, live, oral, type 4
placental villus degradation products||lactobacillus acidophilus|placental mesenchymal stromal cells|lactobacillus helveticus|placental mesenchymal stem cells|annual bluegrass pollen extract|lactobacillus helveticus whole|lactobacillus helveticum whole|lactobacillus reuteri whole|lactobacillus acidophilus whole|white-tailed deer hair extract
no administration of pdt vs sharm pdt||dinitrato de isosorbida|mononitrato de isosorbida|vaccinia strain modified ankara|combretastatin a4 phosphate|carbonic acid, monopotassium salt|dinitrate d'isosorbide|coagulation factor vii (human)|combretastatin a1 diphosphate|coagulation factor vii human|combretastatin a-4 phosphate
cell liponase alpha (genetical recombination)||agalsidase alfa (genetical recombination)|agalsidase beta (genetical recombination)|alteplase (genetical recombination)|galsulfase (genetical recombination)|laronidase (genetical recombination)|insulin lispro (genetical recombination)|antithrombin gamma (genetical recombination)|aflibercept (genetical recombination)|ocrelizumab (genetical recombination)|adalimumab (genetical recombination)
nk911||ana971|ak119|mk-3118|tnx-901|gs-9191|sr-9011|tak-901|ign311|kb-141|nd1251
carbochromen||carbocromen|carbazochrome|carbazochrom|carbazochromum|cannabichromene|cannabinochromene|carbazocromo|cannabichrome|cannanbichromene|biochrome
celcept||onercept|conbercept|belatacept|celery|alefacept|telcagepant|rilonacept|chiltepe|etanercept|asunercept
peritoneal dialysate (1-1)||iron sulfate (1:1)|porcine dynorphin a (1-17)|copper sulfate (1:1)|nickel sulfate(1:1)|menthyl salicylate, (+/-)-|iodine ioflupane (123i)|carbonic acid calcium salt (1:1)|acetic acid, sodium salt (1:1)|l-serine, acetate (ester)|iron(2+) gluconate (1:2)
nitro||5-nitrox|nitarson|nitrosyl|nitromed|nitrogen|nitrite|nitrate|nitarsone|nitrates|patrol
cefbu perazone sodium||cefbuperazone|cefbuperazona|cefoperazonum|cefoperazono|cefoperazone|edetate sodium|reviparin sodium|parnaparin sodium|ferédétate de sodium|pegaptanib sodium
carbo||carbon|carbose|carbono|carob|carrot|carbacol|carboxin|acarbose|carbopol|carbomer
mysterious hot water||sterile water|panax verus root water|cerous oxalate|oyster shell powder|magnesium phosphate|marigold pot flower|apple fruit water|magnesium orotate|ferrous tartrate|serine phosphate
nitorosourea||nitrofural|nitrosoethane|nitarsone|nitroxolina|orotsäure|nitarsonum|nitroxoline|etodolsäure|nitroaspirin|nikotinsäure
maintenance solution (added with glucose) (2)||rehmannia glutinosa root with rhizome|stearic acid, monoester with glycerol|recombinant human acid .alpha.-glucosidase|mineral oil (high viscosity)|albumin, blood serum, labeled with iodine-125|neo-recombinant human acid alpha-glucosidase|human thrombin (recombinant, glycosylated)|interleukin-4 (human; nonglycosylated)|pine needle volatile oil (pinus mugo)|flavin-n7 protonated-adenine dinucleotide
ly21273799||ly2275796|bay1213790|ly-2623091|ly2181308|ly2140023|ly-2334737|ly2828360|ly-2811376|ly-2452473|ly-517717
cassia angustifolia||cassia angustifolia vahl|cassia angustifolia leaf|carya angustifolia nut|cassia acutifolia leaf|fanxieye (cassia angustifolia)|carya angustifolia pollen|senna leaf (cassia angustifolia)|cassia angustifolia leaf extract|senna angustifolia leaf|juglans angustifolia nut
ninchis youchiryouyaku||zinc sulfocarbolate|zinc subcarbonate|zinc(ii) glycinate|trichlorochromium|zinc bisglycinate|niacin aluminum|lithii carbonas|zirconium chlorohydrate|michelia gracilis bark|magnolia kobushii bark
carbocon||carbon|carbocromen|carbono|carboxin|carbacol|carbopol|carbetocin|carbomycin|carboquone|carboquona
carbapenem antibiotics||carrageenan-iota|meropenem anhydrous|crotaline antivenin|carbo vegetabilis|carbon triiodide|carbazole butanoic acid|dasolampanel etibutil|calpain inhibitor iv|faropenem medoxomil|tartarized antimony
lomitapidomesylate||ergoloid mesylate|tricaine mesylate|ergoloid mesylates|lomitapida|lomitapide|lomitapidum|thiomersalate|sodium camsylate|ergoloid mesilates|pradefovir mesylate
nik-333||qr-333|tak-733|mk-0533|lgd-3303|xenon-133|anti-cd3|nikotin|slv-334|jtk-853|tak-831
cloperastin fendizoate||cloperastina|cloperastine|clobetasol propionate|clocortolone hexanoate|combretastatin a1 diphosphate|estradiol benzoate|cloranfenicol|codergocrine mesilate|ecgonine benzoate|beclometasone dipropionate
lithium||lithium ion|cathinum|titanium|absinthium|almitrinum|ornithinum|lithium, ion|indium|dithion|niobium
calcuum lactate||calcium lactate|calcium dilactate|calcium acetate|calcium gluceptate|calcio lactato|calcium citrate|calcium silicate|calcium gluconate|calcium laevulate|calcium glucarate
nid vitamin bb tablets||neovitamin a acid|vitamin b12 complex|vitamin b2 tetrabutyrate|vitamin e acetate|vitamin b1 disulfide|vitamin b2 phosphate|vitamin b1 phosphate|vitamin b12 nos|vitamin e dl-alpha|vitamin a acid
capillary stabilizer||bacillus subtilis|chamomilla recutita flower|caviar, unspecified|culinary sage oil|carbo vegetabilis|cilastatine|chamomilla vulgaris flower|caprylic triglyceride|cellulose crystalline|vanillyl butyl ether
lactobacillus bifidus||lactobacillus acidophilus|lactobacillus helveticus|lactobacillus reuteri|lactobacillus plantarum|lactobacillus coryniformis k8|lactobacillus acidophilus whole|lactobacillus helveticus whole|lactobacillus reuteri whole|bacillus subtilis|lactobacillus helveticum whole
new sankyo gastrointestinal medicine green||porcine vasoactive intestinal octacosapeptide|lenograstim (genetical recombination)|insulin lispro (genetical recombination)|vasoactive intestinal octacosapeptide (pig)|vasoactive intestinal octacosapeptide (swine)|thermobacterium intestinale whole|air, synthetic medicinal|mongolian gerbil skin allergenic extract|pegylated arginine deiminase|beta-dihydroartemisinin ethyl ether
keishi ninjinto||piprinhidrinato|inositol niacinate|methyl nicotinate|isotretinoino|estiripentol|rescinnamine|inositol nicotinate|anisin indandione|benzyl nicotinate|methylnicotinate
cap||ca4p|cap-1|cpad|atp|datp|capture|b38-cap|scallop|camphor|cop-1
influenza a ha vaccine (h1n1 strain)||influenza virus type a (h1n1)|influenza a virus h1n1 live antigen, a|influenza a virus a/brisbane/10/2010 (h1n1) antigen|influenza a virus a/california/7/2009 (h1n1) antigen|influenza a virus h3n2 live antigen, a|influenza virus type b (victoria)|influenza a virus a/bolivia/559/2013 (h1n1) antigen|influenza virus type b (yamagata)|influenza virus type a (h3n2)|rabies virus vaccine flury-lep strain
