dialinate||alginate|dinaline|dialyvite|driminate|sinapinate|dinate|dialyte|folinate|dibunate|hylinate
shoseiryuto||metoserpato|thiostrepton|solcoseryl|sobetirome|house dust|theruptor|spherusol|shoprite|koselugo|sansert
genjin||cogentin|adenin|benzoin|geworin|renamin|gelatin|apigenin|geneticin|benejoint|genistein
other companies' over-the-counter drugs||ultracare oral anesthetic butter rum|father johns cough medicine plus|theraflu daytime severe cold and cough|herbion naturals orange cough drops|clear canal earwax softener drops|theratears lubricant eye drops|on the go hand sanitizer lavender fields|the original natural herb cough drops|ppe company care anti-bacterial wipes|cough cold and sore throat childrens
heiisan||hespan|digisan|lexiscan|eisen|hemin|hemina|delsan|cerisa|labisan|covisan
bms-734016||bms-830216|bms-394136|bms-986016|bms-753493|bms-791826|bms-754807|bpi-3016|bms-813160|bms-184476|bms-986036
gaster||astero|grastek|gastrex|water|paser|oyster|castem|gattex|astepro|gesteira
red blood cell concentrate||modecate concentrate|protein c concentrate|terfluzine concentrate|zoledronic acid concentrate|eyesaline concentrate|redwood pollen extract|micro plus 5 concentrate|micro plus 4 concentrate|savlon hospital concentrate|standardized senna concentrate
blopress||lopressor|lorqess|ocupress|clorpres|biotpres|rhopressa|fluress|bioprep|nouress|iloprost
dimorpholamine||dimorphone|morpholine|diamorphine|imolamine|scopolamine|dorzolamide|chlorphenamine|dichlorphenamide|chlorphenoxamine|antiphlamine
other cardiovascular drugs (general drugs)||clear canal earwax softener drops|therabreath healthy gums oral rinse|clearcanal ear wax softerner drops|leader advanced formula eye drops|head and shoulders menthol fresh|xlear cough drops (green apple)|leader advanced relief eye drops|optimel manuka dry eye drops|thera care pain relief menthol patchs|bayer advanced aspirin extra strength
maintenance liquid (4)||maintenance warehouse|ethrane liquid inh|anti nausea liquid|antacid liquid susp|menjugate liquid|anti-nauseant liquid gels|tanac liquid|vitamin c liquid|pain relief liquid|antibacterial liquid hand
blood transfusion (preserved blood)||revitalizing translucent pressed powder|pure transformation sheer clear|pure transformation sheer light|good sense burn relief aloe|biotech-transfer skin shield barrier lotion|blood coagulation factor xiv (human)|flor-opal sustained-release fluoride|pure transformation sheer medium|pure transformation sheer dark|cold and sinus relief combo
gallbladder (general drug)||dollar general gold|leader mineral oil|dollar general|cellulose regenerated|dollar general vapor steam|leader original formula|leader nasal allergy|leader natural fiber|galsulfase (genetical recombination)|clotrimaderm external cream
other antitussives||resfridol antitussive|water additive|heb anti nausea|north antihistamine|lather hand sanitizer|leader anti nausea|meijer anti nausea|hoosier sanitizer|hatchet sanitizer|north antiseptic
blood transfusion||ageloc transformation|lip infusion|leg strong trifusion|blood stone|chloortrianisestrol|coal tar solution|chlorotrianisine|bio-ondansetron|food processing|blonanserin
other antiparkinson agents||myo-ther antimicrobial skin cleanser|soothe sensitive skin treatment|polyderm antibiotic ointment|cherry antacid soft chews|deodry antiperspirant|suave antiperspirant solid scented|thera antimicrobial body cleanser|mitchum antipersp stk scent 20%|carpe antiperspirant for hands|complete antibiotic ointment
daiokanzoto||dicopanol|diovan-hct|dapiprazol|idazoxano|diovan hct|dapiprazole|marijuana top|dapiprazolum|banoxantrone|dioxybenzone
blood pressure booster||snaytox essence booster|babor collagen booster|high blood pressure cold and flu|cold sore fever blister|good sense stool softener|galactomyces man booster|blood culture prep kit|alcohol preps sterile|bald cypress pollen|dr. iaso ac booster
other antiinflammatory agents in comb.||arthriten inflammatory pain formula|backaid inflammatory pain formula|phoenix kineticream anti-inflammatory and pain relief|viral macrophage inflammatory protein-ii|oral-b anti-cavity dental rinse .05%|stimulant laxative enteric coated|olay anti-wrinkle mature skin|contend anti-bacterial gel skin cleanser|viral macrophage-inflammatory protein|myo-ther antimicrobial skin cleanser
blood futsubo maru||blood stop liq|blood culture prep kit|blood stone|wood sugar|lebody fit body massager|good sense cold max|blood pack unit cpd|balsamo de ubre mascura|cold flu sore throat|balloon flower root
bisphosphonate||butylphosphonate|carbaphosphonate|phosphate|bisphosphocin nu3|diethyl phosphonate|isophosphamide|bisphosphocin nu-3|phosphotec|phospholine|iphosphamide
ringer acetate solution (with glucose) (2-2)||sopamycetin solution ophthalmique 0.2%|clinique acne solutions quick clearing pads|replenix acne solutions acne gel 2.5%|clinique acne solutions night treatment gel|disinfectant solution for hand-use|nacellate solution 0.9% - 250ml|mary kay timewise day solution with sunscreen spf 15|clinique acne solutions spot treatment gel|nugen acne solution mattifying hydrator|ics perfect solution anti wrinkle eye
other antiepileptic agents||hyvee antiseptic mint|organic antiseptic gel|orbel antiseptic hand rub|hyvee antiseptic original|hyvee antiseptic blue mint|damochem antiseptic hand gel|talon antiseptic wipes|alcohol antiseptic wipes|tea tree antiseptic cream|xpect antiseptic wipes
galactosyl human serum albumin diethylenetriamine technetium pentaacetate (99mtc)||gadolinium diethylenetriamine pentaacetic acid|copper disodium ethylenediaminetetraacetate|kit for the preparation of technetium tc 99m pentetate injection|ferric sodium ethylenediaminetetraacetate|cvs health maximum strength acne treatment acne medication|marcelle flawless air serum foundation sérum de teint peau parfaite spf 15 fps|welmedix homecare pro skin essentials incontinence care starter|kit for the preparation of lymphoseek (technetium tc 99m tilmanocept)|allogenic human umbilical derived mesenchymal stem cells in conditioned media|beta-((p-methanesulfonamidophenethyl)methylamino)methanesulfono-p-phenetidide
takadiastase||niastase|tavalisse|tilactase|pradigastat|acid maltase|tapatias|adamantane|radiogardase|vonapanitase|tradipitant
blood donation albumin 20 kaketsuken 20%||lorac foundation medium beige spf20|lorac foundation light beige spf20|lorac foundation golden tan spf20|lorac foundation medium tan spf20|skin foundation mineral makeup spf 15|international business amenity kit|almay anti aging lip care spf 20|biomi action de gala mineral sunscreen spf30|ocean potion intell mist 50 kids sunscreen|human albumin grifols 20%
bi 201335 na||bi 44370 ta|bio c 300 tab|i 131 mini|i 123 mini|bi 2536|biib015|bio c 600 tab|bms 707035|spf 20 natural|b6 25 tab 25mg
blobalin||lobeline|lobelina|lobaplatin|robaxin|l-valin|albalon|lodalis|bebulin|focalin|eloxatin
other||ether|northera|oyster|soothe|thergy|heather|athomer|apthera|protherix|lotrel
cefteram pivoxil||cefditoren pivoxil|sulbactam pivoxil|adefovir pivoxil|sulbactam pivoxyl|adefovir dipivoxil|besifovir dipivoxil|cefadroxil|terameprocol|deferasirox|atecegatran metoxil
otc102||oc-1012|cb 102|tg1024|at1022|cf-102|atl1102|sbc-102|sot-107|it-101|obe101
antiplatelet agent||antiflautent|platelet lysate|nitrate d'argent|antibacterial gel|antibacterial wet|antibiotique onguent|anti-nauseant tablet|antibacterial mint scent|anti-bacterial hand|antibacterial hand
fresh liquid plasma||refresh liquigel|aleve liquid gels|gravol liquid gels|fiori liquid alcohol|light liquid paraffin|careone liquid antacid|heavy liquid petrolatum|light liquid petrolatum|naproxen liquid gels|gelusil liquid sus
vitamins (2-3)||vitamin d-3|vitamin d2|vitamin d3|vitamin k2|vitamin h3|vitamin k3|vitamin l2|vitamin b2|vitamina d2|vitamin k 3
antidote||r-antidote|actidose|acetadote|nithiodote|amidate|antizol|antizom|antimony|actisite|ranitidine
osteoporosis injection||etoposide injection|vasopressin injection|propofol-ii injection|septra injection|propofol injection|topotecan injection|octreotide injection|bortezomib for injection|apo-teriparatide injection|adenosine injection
vitamins (2-4)||vitamin b2|vitamin d2|vitamin l2|vitamin b4|vitamin k2|vitamin b-2|vitamina d2|vitamin d-3|vitamins a d|vitamin b12
cepharanthine||cephradine|cephalothin|cephapirine|cephaloridine|cryptoxanthine|cephradin|zeaxanthin|nephramine|bepanthene|cephalotin
biological test preparations||boswellia serrata preparation|brown rice preparation|atlantic halibut preparation|oats preparation|evertox special bath preparations|blue crab preparation|damiana leaf preparation|culex pipiens preparation|aloe ferox leaf preparation|siberian ginseng preparation
oren agoriyu||orfenadrina|orphenadrinum|orphenadrine|renzapride|corn grain|prenatryl|robenacoxibum|prenatrix|paregorique|psorent psoriasis
ネチルマイシン硫酸塩||spectazole|tc-99m mdp|pentamidin|orlipastat|mold mix c|wood sugar|artemifone|kher resin|angiotonin|protectorx
loki dustat||molidustat|lidostat|desidustat|roxadustat|eliglustat|éliglustat|linrodostat|énarodustat|daprodustat|enarodustat
biofermin r (nos)||vitamin d nos|iofetamine (123i)|iofetamine (123 i)|angiotensin i (1-7)|bromelain protease|iofetamine i 123|bioderm ointment|vitamin b12 nos|ioforminol|bioferr 90
orara tsumab||olaratumab|narnatumab|daratumumab|onartuzumab|tarextumab|ozoralizumab|parsatuzumab|etaracizumab|foralumab|garetosmab
ferro gradumet||fero grad 500|fero grad filmtab|ferrostrane|ferric sodium edta|senokot granules|ferrostrene|terbogrelum|ferrous gluconate|ferrous tartrate|ferrous fumarate
hypnotic sedative||osmotic laxative|hypertonic dextrose|hygenix sanitizer|chapstick medicated|cotz sensitive|tylenol sinus daytime|thioctic acid amide|chocolated laxative|freshmint sensitive|spasmolytic peptide
oral nutrition||skin nutritions|ultra nutrition day|ultra nutrition eye|oral purgative|tourcia nutri toner|granulotion|total arthritis|ultra nutrition night|ultra nutrition toner|raluridine
biofermin mixture||birch mixture|firming moisture|franseria mixture|mulberry mixture|elm mixture|sorrel mixture|pigweed mixture|feather mixture|monilia mixture|mucor mixture
fat emulsion||solie emulsion|the first emulsion|a mulsion 10|urea 50% emulsion|catenulin|fotemustine|fotemustina|zetar emulsion 30%|placenta ex emulsion|atomu skin
biodiastase 2000 combination drug (5)||monistat 3 combination pack|monistat 1 combination pack|miconazole 3 combination pack|moisture rich foundation spf 15|hops-valerian combination cap|monistat 1 combination pack triple action|monistat 3 combination pack triple action|monistat 7 combination pack triple action|fc5 face oily combination sample set|super aqua max combination watery
biodiastase 2000||rhodis sr 200mg|biotin tab 300mcg|niastase rt|dialyvite 3000|biifenac 1000|biotin tab 250mcg|vita balance 2000|dialyvite 5000|monitan 200|iron isomaltoside 1000
external medicine||percy medicine|motion medicine|allergy medicine|father johns medicine|renewal medicated|mexsana medicated|xl-3 cold medicine|external analgesic|nitetime cold medicine|nite time cold medicine
uterotonic||serotonin|alertonic|uteroglobin|protonix|protopic|merotocin|tepotinib|astronic|dermotic|tenoretic
ph4 treated acidic human immunoglobulin||human hepatitis b immunoglobulin|human clostridium tetani immune globulin|human hepatitis-b immunoglobulin|human vaccinia virus immune globulin|human anti-d immunoglobulin|human vaccinia immune globulin|rabbit anti-thymocyte immunoglobulin|rabbit anti-human thymocyte immunoglobulin|tetanus immunoglobulin|hepatitis b immune globulin
oral anticoagulant for paf||herbal anti-nausea formula|anticoagulant sodium citrate|carpe antiperspirant for feet|carpe antiperspirant for hands|roll-on antiperspirant for men|foma antimicrobial foam|oral infant cold drops|haemonetics anticoagulant sodium citrate|recombinant coagulation factor xiii|coralite antibacterial natural oat
pibrentasville||pibrentasvir|prenatvite|piretanide|bentasil red|mirfentanil|bravelle|pentavitin|piretanida|pirnabine|pirenzepine
eve||aleve|revex|relive|levate|prevex|envive|revive|menveo|evekeo|cerave
bio-three||bio-chrome|biothrax|biotpres|biotene|biochrome|bio-relief|biopure|bio-fen|biotine|bioprep
tounin||tioguanin|tioguanina|tioguanine|onion|oubain|tequin|turnip|ioquin|otozin|eoquin
lasagirin mesylate||rasagiline mesylate|doxazosin mesylate|imatinib mesylate|rasagiline mylan|eprosartan mesylate|ziprasidone mesylate|codergocrine mesylate|pms-amlodipine mesylate|tricaine mesylate|atracurium besylate
opc-41061||orp-101|oc-1012|opc-51803|cc-401|osi-461|onc-201|kp-1461|etc-1001|nuc-1031|ore-1001
ethylene glycol||triethylene glycol|octaethylene glycol|trimethylene glycol|polyethylene glycol|butylene glycol|heptaethylene glycol|methyl glycol|polyethylene glycol 8|methylethylene glycol|propylene glycol
biltralsen||citracleen|viltolarsen|vitrase|ultrase|ultraclean|boil ease|vitrasert|binetrakin|melitracen|trisoralen
opc-262||opc-28326|onc-201|4sc-202|opc-14523|ac-262536|gdc-0623|ono-2952|apr-246|cp-320626|cc-220
metabolic drugs not classified elsewhere||lil drug store infants pain reliever|lil drug store tylenol sinus severe|daylogic dandruff classic clean|siero du kind cleansing sherbet|ethical herbals natural pain reliever|alumier md acne clarifying cleanser|beta-dihydroartemisinin ethyl ether|medichoice ob cleansing towelette|equaline dandruff classic clean|lil drug store tylenol cold plus flu severe
tokiken nakayu||topcare nasal|sofskin baby|ketotifen fumarate|porfimer natrium|shoprite nasal|pocket farmacy|sof skin baby|saline nasal|etofenamatum|poison oak
bifiz bacteria preparation||schizandra preparation|blue crab preparation|brown rice preparation|boswellia serrata preparation|damiana leaf preparation|siberian ginseng preparation|matricaria recutita preparation|caviar preparation|rhubarb preparation|corn starch preparation
synaridine||pyronaridine|phenaridine|sardine|sentradine|tinoridine|bunamidine|cantharidine|sunmark iodine|fampridine|nizatidine
etc.||dedtc|duetact|ertaczo|etc-588|ketocon|eticovo|neotica|lettuce|estrace|betacol
onsui-to||ensuite|mosquito|opsumit|gonitro|osmitrol|monitor|inositol|nequinato|onapristone|constulose
diuretic||uniretic|accuretic|diurex|diuril|inrebic|hi vetic|duragesic|quinaretic|diaret liq|duretic 5mg
priffinium bromide||fazadinium bromide|clidinium bromid|ciclonium bromide|pancuronium bromide|vecuronium bromide|rocuronium bromide|ipratropium bromide|cyclonium bromide|pyridostigmine bromide|pryidostigmine bromide
enzartashid||enzastaurin|enzalutamida|enzalutamide|narasin|ensartinib|smartshield|nutrashield|benzthiazid|lenograstim|dermashield
